id,created_at,favorite_count,retweet_count
863427515083354112,Sat May 13 16:15:35 +0000 2017,2191,92
863079547188785154,Fri May 12 17:12:53 +0000 2017,8594,1074
863062471531167744,Fri May 12 16:05:02 +0000 2017,8312,2362
862831371563274240,Fri May 12 00:46:44 +0000 2017,18792,4996
862722525377298433,Thu May 11 17:34:13 +0000 2017,16745,3434
862457590147678208,Thu May 11 00:01:27 +0000 2017,20092,4805
862096992088072192,Wed May 10 00:08:34 +0000 2017,73049,22544
861383897657036800,Mon May 08 00:54:59 +0000 2017,35466,10426
861288531465048066,Sun May 07 18:36:02 +0000 2017,16904,4030
861005113778896900,Sat May 06 23:49:50 +0000 2017,16417,3718
860981674716409858,Sat May 06 22:16:42 +0000 2017,0,2098
860924035999428608,Sat May 06 18:27:40 +0000 2017,0,787
860563773140209665,Fri May 05 18:36:06 +0000 2017,7389,2098
860524505164394496,Fri May 05 16:00:04 +0000 2017,23259,5167
860276583193509888,Thu May 04 23:34:55 +0000 2017,18047,3408
860184849394610176,Thu May 04 17:30:24 +0000 2017,16409,5714
860177593139703809,Thu May 04 17:01:34 +0000 2017,0,30227
859924526012018688,Thu May 04 00:15:58 +0000 2017,19276,4004
859851578198683649,Wed May 03 19:26:06 +0000 2017,15191,3438
859607811541651456,Wed May 03 03:17:27 +0000 2017,18320,1533
859196978902773760,Tue May 02 00:04:57 +0000 2017,88643,29518
859074603037188101,Mon May 01 15:58:40 +0000 2017,33425,13338
858860390427611136,Mon May 01 01:47:28 +0000 2017,0,7972
858843525470990336,Mon May 01 00:40:27 +0000 2017,15358,3429
858471635011153920,Sun Apr 30 00:02:42 +0000 2017,21242,4766
858107933456039936,Fri Apr 28 23:57:28 +0000 2017,15539,2866
857989990357356544,Fri Apr 28 16:08:49 +0000 2017,15937,2550
857746408056729600,Fri Apr 28 00:00:54 +0000 2017,33866,10452
857393404942143489,Thu Apr 27 00:38:11 +0000 2017,5830,1618
857263160327368704,Wed Apr 26 16:00:39 +0000 2017,19823,4448
857214891891077121,Wed Apr 26 12:48:51 +0000 2017,226,17
857062103051644929,Wed Apr 26 02:41:43 +0000 2017,0,168
857029823797047296,Wed Apr 26 00:33:27 +0000 2017,18741,3949
856543823941562368,Mon Apr 24 16:22:16 +0000 2017,16137,2843
856526610513747968,Mon Apr 24 15:13:52 +0000 2017,11759,1854
856330835276025856,Mon Apr 24 02:15:55 +0000 2017,0,657
856288084350160898,Sun Apr 23 23:26:03 +0000 2017,511,15
856282028240666624,Sun Apr 23 23:01:59 +0000 2017,27525,6213
855862651834028034,Sat Apr 22 19:15:32 +0000 2017,339,26
855860136149123072,Sat Apr 22 19:05:32 +0000 2017,4957,995
855857698524602368,Sat Apr 22 18:55:51 +0000 2017,11798,2098
855851453814013952,Sat Apr 22 18:31:02 +0000 2017,45314,17752
855818117272018944,Sat Apr 22 16:18:34 +0000 2017,26480,5379
855459453768019968,Fri Apr 21 16:33:22 +0000 2017,29750,8154
855245323840757760,Fri Apr 21 02:22:29 +0000 2017,0,5925
855138241867124737,Thu Apr 20 19:16:59 +0000 2017,0,44
854732716440526848,Wed Apr 19 16:25:34 +0000 2017,22756,6025
854482394044301312,Tue Apr 18 23:50:52 +0000 2017,29227,6854
854365224396361728,Tue Apr 18 16:05:17 +0000 2017,18847,4668
854120357044912130,Mon Apr 17 23:52:16 +0000 2017,31932,7458
854010172552949760,Mon Apr 17 16:34:26 +0000 2017,16191,3152
853760880890318849,Mon Apr 17 00:03:50 +0000 2017,28589,5740
853639147608842240,Sun Apr 16 16:00:07 +0000 2017,34816,10077
853299958564483072,Sat Apr 15 17:32:18 +0000 2017,15536,3553
852936405516943360,Fri Apr 14 17:27:40 +0000 2017,0,2006
852912242202992640,Fri Apr 14 15:51:39 +0000 2017,9092,1830
852672615818899456,Thu Apr 13 23:59:28 +0000 2017,14971,2156
852553447878664193,Thu Apr 13 16:05:56 +0000 2017,16386,3505
852311364735569921,Thu Apr 13 00:03:59 +0000 2017,33278,9954
852226086759018497,Wed Apr 12 18:25:07 +0000 2017,20093,6863
852189679701164033,Wed Apr 12 16:00:27 +0000 2017,11507,1590
851861385021730816,Tue Apr 11 18:15:55 +0000 2017,0,20
851591660324737024,Tue Apr 11 00:24:08 +0000 2017,16335,3497
851464819735769094,Mon Apr 10 16:00:07 +0000 2017,24401,7097
851224888060895234,Mon Apr 10 00:06:42 +0000 2017,20797,5758
850753642995093505,Sat Apr 08 16:54:09 +0000 2017,31136,9225
850380195714523136,Fri Apr 07 16:10:12 +0000 2017,13189,2637
850333567704068097,Fri Apr 07 13:04:55 +0000 2017,3481,336
850145622816686080,Fri Apr 07 00:38:06 +0000 2017,16470,3838
850019790995546112,Thu Apr 06 16:18:05 +0000 2017,20592,4917
849776966551130114,Thu Apr 06 00:13:11 +0000 2017,30778,7666
849668094696017920,Wed Apr 05 17:00:34 +0000 2017,0,5006
849412302885593088,Wed Apr 05 00:04:08 +0000 2017,16025,3183
849336543269576704,Tue Apr 04 19:03:06 +0000 2017,11520,1927
849051919805034497,Tue Apr 04 00:12:06 +0000 2017,42817,8583
848690551926992896,Mon Apr 03 00:16:10 +0000 2017,25474,4374
848324959059550208,Sun Apr 02 00:03:26 +0000 2017,25042,4649
848213670039564288,Sat Apr 01 16:41:12 +0000 2017,8287,745
848212111729840128,Sat Apr 01 16:35:01 +0000 2017,16533,3092
847978865427394560,Sat Apr 01 01:08:10 +0000 2017,0,3300
847971574464610304,Sat Apr 01 00:39:12 +0000 2017,0,436
847962785489326080,Sat Apr 01 00:04:17 +0000 2017,23819,5161
847842811428974592,Fri Mar 31 16:07:33 +0000 2017,5520,1348
847617282490613760,Fri Mar 31 01:11:22 +0000 2017,7085,424
847606175596138505,Fri Mar 31 00:27:14 +0000 2017,19024,3465
847251039262605312,Thu Mar 30 00:56:03 +0000 2017,20755,4346
847157206088847362,Wed Mar 29 18:43:12 +0000 2017,20202,5957
847116187444137987,Wed Mar 29 16:00:12 +0000 2017,21729,3235
846874817362120707,Wed Mar 29 00:01:05 +0000 2017,20379,3975
846514051647705089,Tue Mar 28 00:07:32 +0000 2017,45295,11760
846505985330044928,Mon Mar 27 23:35:28 +0000 2017,14324,3121
846153765933735936,Mon Mar 27 00:15:53 +0000 2017,32165,9212
846139713627017216,Sun Mar 26 23:20:02 +0000 2017,31434,10119
846042936437604353,Sun Mar 26 16:55:29 +0000 2017,16254,2922
845812042753855489,Sun Mar 26 01:38:00 +0000 2017,29735,8858
845677943972139009,Sat Mar 25 16:45:08 +0000 2017,25573,4870
845397057150107648,Fri Mar 24 22:08:59 +0000 2017,7761,1840
845306882940190720,Fri Mar 24 16:10:40 +0000 2017,23736,5481
845098359547420673,Fri Mar 24 02:22:04 +0000 2017,0,7800
844979544864018432,Thu Mar 23 18:29:57 +0000 2017,13871,2603
844973813909606400,Thu Mar 23 18:07:10 +0000 2017,15373,3266
844580511645339650,Wed Mar 22 16:04:20 +0000 2017,16784,3194
844223788422217728,Tue Mar 21 16:26:50 +0000 2017,13888,2244
843981021012017153,Tue Mar 21 00:22:10 +0000 2017,15437,2997
